Date,Campaign_Type,Campaign,Ad_Group,Keyword,Match_Type,Impressions,Clicks,Cost_COP,Conversions,Quality_Score
2026-07-12,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,435,44,$39.115,4,9
2026-07-12,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,215,20,$21.774,2,10
2026-07-12,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,77,11,$9.851,2,10
2026-07-12,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,87,10,$9.331,1,8
2026-07-12,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,59,5,$5.992,0,8
2026-07-12,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,39,3,$3.291,0,8
2026-07-12,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.205,43,$72.881,2,6
2026-07-12,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,849,24,$48.964,1,7
2026-07-12,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,297,11,$19.617,1,8
2026-07-12,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.080,23,$40.574,1,6
2026-07-12,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,459,9,$18.161,0,5
2026-07-12,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,429,10,$18.640,0,6
2026-07-12,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,781,31,$50.051,2,6
2026-07-12,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,458,12,$24.725,0,7
2026-07-12,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,282,11,$19.104,0,6
2026-07-12,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,700,12,$27.016,0,5
2026-07-12,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,483,12,$21.596,0,6
2026-07-12,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,197,4,$8.060,0,6
2026-07-12,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,155,2,$6.192,0,4
2026-07-12,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,143,2,$5.995,0,3
2026-07-12,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,76,0,$0,0,4
2026-07-12,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,117,2,$5.860,0,3
2026-07-12,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,128,1,$3.161,0,3
2026-07-12,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,69,1,$3.221,0,4
2026-07-13,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,719,74,$70.344,10,10
2026-07-13,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,360,35,$39.909,3,10
2026-07-13,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,109,15,$13.493,2,10
2026-07-13,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,78,7,$6.511,0,9
2026-07-13,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,68,7,$7.228,1,8
2026-07-13,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,58,4,$4.523,0,8
2026-07-13,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.552,55,$104.936,1,8
2026-07-13,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.025,19,$38.388,1,7
2026-07-13,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,576,20,$37.141,1,7
2026-07-13,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.415,41,$79.439,1,7
2026-07-13,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,851,21,$47.179,0,7
2026-07-13,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,428,10,$18.269,0,6
2026-07-13,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,871,33,$53.404,2,8
2026-07-13,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,649,14,$24.473,1,6
2026-07-13,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,317,10,$16.867,0,6
2026-07-13,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.342,29,$61.764,1,5
2026-07-13,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,466,11,$19.654,0,7
2026-07-13,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,292,6,$14.027,0,6
2026-07-13,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,287,4,$12.881,0,5
2026-07-13,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,113,1,$3.046,0,5
2026-07-13,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,84,1,$3.247,0,4
2026-07-13,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,164,2,$6.309,0,3
2026-07-13,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,101,1,$3.387,0,4
2026-07-13,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,71,1,$2.790,0,4
2026-07-14,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,476,49,$45.295,6,9
2026-07-14,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,359,30,$30.578,4,9
2026-07-14,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,130,14,$11.398,1,9
2026-07-14,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,70,7,$6.763,1,10
2026-07-14,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,53,5,$6.015,0,8
